branch_id,month,region,sales_jpy,price_change_flag,income_band,avg_temp_c,foot_traffic,manager_tenure_months
BR_0000,2024-04,South,4738442,1,High,26.5,15576,45
BR_0000,2025-04,North,5076681,1,High,14.6,15742,12
BR_0001,2024-04,West,5077779,0,High,27.8,10708,105
BR_0001,2025-04,North,4898535,0,High,26.9,14410,77
BR_0002,2024-04,South,5044608,1,Low,15.0,17926,45
BR_0002,2025-04,West,4158571,1,Low,17.9,12765,112
BR_0003,2024-04,South,4880425,1,Mid,17.3,9520,110
BR_0003,2025-04,West,4901420,1,Mid,18.5,17918,35
BR_0004,2024-04,East,5111764,0,Mid,12.6,9644,113
BR_0004,2025-04,North,5106746,0,Mid,15.5,11699,20
BR_0005,2024-04,East,5130785,0,Low,19.4,13436,17
BR_0005,2025-04,North,5015890,0,Low,13.2,14035,103
BR_0006,2024-04,South,4995997,0,Mid,13.0,9984,33
BR_0006,2025-04,South,4564442,0,Mid,15.9,9171,73
BR_0007,2024-04,North,4757001,0,Mid,17.9,16467,107
BR_0007,2025-04,South,4965345,0,Mid,29.8,15439,61
BR_0008,2024-04,South,4834552,0,Mid,19.8,11318,119
BR_0008,2025-04,West,4624852,0,Mid,17.7,9041,33
BR_0009,2024-04,West,4809414,1,High,25.2,10424,59
BR_0009,2025-04,East,4787255,1,High,19.3,15370,116
BR_0010,2024-04,West,5012714,1,High,18.1,14405,14
BR_0010,2025-04,West,5026948,1,High,23.6,11866,7
BR_0011,2024-04,South,4614988,0,High,10.8,14513,105
BR_0011,2025-04,West,4700349,0,High,18.5,10337,48
BR_0012,2024-04,West,4874460,0,Low,27.2,9738,46
BR_0012,2025-04,East,4614548,0,Low,14.0,14315,30
BR_0013,2024-04,East,4947707,0,Mid,11.5,13090,75
BR_0013,2025-04,North,4759536,0,Mid,28.2,15046,100
BR_0014,2024-04,South,5081796,1,Mid,21.9,10757,20
BR_0014,2025-04,North,5138751,1,Mid,19.4,13307,6
BR_0015,2024-04,North,5004334,1,High,27.4,17448,119
BR_0015,2025-04,West,4899337,1,High,22.3,11538,109
BR_0016,2024-04,North,4528969,0,Low,22.8,16219,79
BR_0016,2025-04,East,4686426,0,Low,10.2,16067,101
BR_0017,2024-04,North,4567021,1,Mid,24.4,9250,12
BR_0017,2025-04,South,4946941,1,Mid,14.4,14226,34
BR_0018,2024-04,South,5121904,0,High,13.1,16742,117
BR_0018,2025-04,North,4724691,0,High,10.2,17370,17
BR_0019,2024-04,East,4578051,1,High,15.9,11111,20
BR_0019,2025-04,West,4539650,1,High,13.7,16446,71
BR_0020,2024-04,North,4851151,1,Low,12.6,17752,32
BR_0020,2025-04,South,3493201,1,Low,14.9,14720,46
BR_0021,2024-04,North,5151972,0,Mid,18.6,16334,101
BR_0021,2025-04,South,4980112,0,Mid,18.0,15498,74
BR_0022,2024-04,South,5011650,1,High,15.5,12929,19
BR_0022,2025-04,South,5188127,1,High,10.9,15841,115
BR_0023,2024-04,North,5158895,0,Mid,17.7,15402,112
BR_0023,2025-04,South,4924941,0,Mid,29.5,16684,110
BR_0024,2024-04,West,4666590,0,Low,15.6,11670,86
BR_0024,2025-04,West,4940835,0,Low,24.6,17681,46
BR_0025,2024-04,West,4720767,1,High,28.2,14236,72
BR_0025,2025-04,North,4821871,1,High,13.7,17998,30
BR_0026,2024-04,East,5052614,1,Low,29.7,13623,21
BR_0026,2025-04,North,4292616,1,Low,27.0,16815,20
BR_0027,2024-04,North,4901325,0,Mid,29.2,13260,103
BR_0027,2025-04,South,4947240,0,Mid,16.9,15267,115
BR_0028,2024-04,West,5051500,1,Low,26.4,9769,17
BR_0028,2025-04,North,3746289,1,Low,25.5,16774,105
BR_0029,2024-04,North,4792183,0,Mid,26.2,16415,44
BR_0029,2025-04,East,5011692,0,Mid,20.6,10567,14
BR_0030,2024-04,East,5077335,1,Low,26.6,16671,18
BR_0030,2025-04,East,3320298,1,Low,25.1,13179,65
BR_0031,2024-04,North,4772828,1,Low,29.5,10849,34
BR_0031,2025-04,West,3512248,1,Low,17.2,11161,30
BR_0032,2024-04,South,4923970,1,Mid,29.4,16132,19
